,SurveyYear,group,fulltype,Val,fulltypegroup,gender,type
0,2003,0.1,OperatingExpensesperTeamMensTeam,12061.200000000003,OperatingExpensesperTeamMensTeam0.1,M,expenses
1,2003,0.1,OperatingExpensesperTeamWomensTeam,9418.6,OperatingExpensesperTeamWomensTeam0.1,W,expenses
2,2003,0.1,RevenuesMensTeam,12946.000000000002,RevenuesMensTeam0.1,M,revenues
3,2003,0.1,RevenuesWomensTeam,9624.5,RevenuesWomensTeam0.1,W,revenues
4,2003,0.2,OperatingExpensesperTeamMensTeam,16918.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
5,2003,0.2,OperatingExpensesperTeamWomensTeam,14482.800000000001,OperatingExpensesperTeamWomensTeam0.2,W,expenses
6,2003,0.2,RevenuesMensTeam,25073.000000000004,RevenuesMensTeam0.2,M,revenues
7,2003,0.2,RevenuesWomensTeam,19935.0,RevenuesWomensTeam0.2,W,revenues
8,2003,0.3,OperatingExpensesperTeamMensTeam,20994.0,OperatingExpensesperTeamMensTeam0.3,M,expenses
9,2003,0.3,OperatingExpensesperTeamWomensTeam,18167.8,OperatingExpensesperTeamWomensTeam0.3,W,expenses
10,2003,0.3,RevenuesMensTeam,37872.89999999999,RevenuesMensTeam0.3,M,revenues
11,2003,0.3,RevenuesWomensTeam,29909.5,RevenuesWomensTeam0.3,W,revenues
12,2003,0.4,OperatingExpensesperTeamMensTeam,25000.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
13,2003,0.4,OperatingExpensesperTeamWomensTeam,22174.2,OperatingExpensesperTeamWomensTeam0.4,W,expenses
14,2003,0.4,RevenuesMensTeam,59942.40000000001,RevenuesMensTeam0.4,M,revenues
15,2003,0.4,RevenuesWomensTeam,43976.0,RevenuesWomensTeam0.4,W,revenues
16,2003,0.5,OperatingExpensesperTeamMensTeam,30221.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
17,2003,0.5,OperatingExpensesperTeamWomensTeam,26990.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
18,2003,0.5,RevenuesMensTeam,85026.0,RevenuesMensTeam0.5,M,revenues
19,2003,0.5,RevenuesWomensTeam,61757.0,RevenuesWomensTeam0.5,W,revenues
20,2003,0.6,OperatingExpensesperTeamMensTeam,37205.6,OperatingExpensesperTeamMensTeam0.6,M,expenses
21,2003,0.6,OperatingExpensesperTeamWomensTeam,32441.6,OperatingExpensesperTeamWomensTeam0.6,W,expenses
22,2003,0.6,RevenuesMensTeam,123007.19999999998,RevenuesMensTeam0.6,M,revenues
23,2003,0.6,RevenuesWomensTeam,84694.0,RevenuesWomensTeam0.6,W,revenues
24,2003,0.7,OperatingExpensesperTeamMensTeam,49515.39999999998,OperatingExpensesperTeamMensTeam0.7,M,expenses
25,2003,0.7,OperatingExpensesperTeamWomensTeam,42624.599999999955,OperatingExpensesperTeamWomensTeam0.7,W,expenses
26,2003,0.7,RevenuesMensTeam,195314.5999999997,RevenuesMensTeam0.7,M,revenues
27,2003,0.7,RevenuesWomensTeam,126315.5,RevenuesWomensTeam0.7,W,revenues
28,2003,0.8,OperatingExpensesperTeamMensTeam,97484.40000000002,OperatingExpensesperTeamMensTeam0.8,M,expenses
29,2003,0.8,OperatingExpensesperTeamWomensTeam,73731.00000000001,OperatingExpensesperTeamWomensTeam0.8,W,expenses
30,2003,0.8,RevenuesMensTeam,359492.6000000003,RevenuesMensTeam0.8,M,revenues
31,2003,0.8,RevenuesWomensTeam,216538.0,RevenuesWomensTeam0.8,W,revenues
32,2003,0.9,OperatingExpensesperTeamMensTeam,214552.59999999998,OperatingExpensesperTeamMensTeam0.9,M,expenses
33,2003,0.9,OperatingExpensesperTeamWomensTeam,153167.99999999997,OperatingExpensesperTeamWomensTeam0.9,W,expenses
34,2003,0.9,RevenuesMensTeam,963387.7000000001,RevenuesMensTeam0.9,M,revenues
35,2003,0.9,RevenuesWomensTeam,445307.0,RevenuesWomensTeam0.9,W,revenues
36,2004,0.1,OperatingExpensesperTeamMensTeam,12684.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
37,2004,0.1,OperatingExpensesperTeamWomensTeam,10009.6,OperatingExpensesperTeamWomensTeam0.1,W,expenses
38,2004,0.1,RevenuesMensTeam,23529.800000000003,RevenuesMensTeam0.1,M,revenues
39,2004,0.1,RevenuesWomensTeam,19014.8,RevenuesWomensTeam0.1,W,revenues
40,2004,0.2,OperatingExpensesperTeamMensTeam,18057.8,OperatingExpensesperTeamMensTeam0.2,M,expenses
41,2004,0.2,OperatingExpensesperTeamWomensTeam,15388.8,OperatingExpensesperTeamWomensTeam0.2,W,expenses
42,2004,0.2,RevenuesMensTeam,37567.6,RevenuesMensTeam0.2,M,revenues
43,2004,0.2,RevenuesWomensTeam,31115.4,RevenuesWomensTeam0.2,W,revenues
44,2004,0.3,OperatingExpensesperTeamMensTeam,22733.6,OperatingExpensesperTeamMensTeam0.3,M,expenses
45,2004,0.3,OperatingExpensesperTeamWomensTeam,19867.6,OperatingExpensesperTeamWomensTeam0.3,W,expenses
46,2004,0.3,RevenuesMensTeam,58636.799999999996,RevenuesMensTeam0.3,M,revenues
47,2004,0.3,RevenuesWomensTeam,44815.4,RevenuesWomensTeam0.3,W,revenues
48,2004,0.4,OperatingExpensesperTeamMensTeam,27451.4,OperatingExpensesperTeamMensTeam0.4,M,expenses
49,2004,0.4,OperatingExpensesperTeamWomensTeam,24280.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
50,2004,0.4,RevenuesMensTeam,84087.20000000001,RevenuesMensTeam0.4,M,revenues
51,2004,0.4,RevenuesWomensTeam,65024.4,RevenuesWomensTeam0.4,W,revenues
52,2004,0.5,OperatingExpensesperTeamMensTeam,33300.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
53,2004,0.5,OperatingExpensesperTeamWomensTeam,29296.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
54,2004,0.5,RevenuesMensTeam,113390.0,RevenuesMensTeam0.5,M,revenues
55,2004,0.5,RevenuesWomensTeam,86973.0,RevenuesWomensTeam0.5,W,revenues
56,2004,0.6,OperatingExpensesperTeamMensTeam,41105.6,OperatingExpensesperTeamMensTeam0.6,M,expenses
57,2004,0.6,OperatingExpensesperTeamWomensTeam,36127.799999999996,OperatingExpensesperTeamWomensTeam0.6,W,expenses
58,2004,0.6,RevenuesMensTeam,157274.19999999995,RevenuesMensTeam0.6,M,revenues
59,2004,0.6,RevenuesWomensTeam,117577.79999999999,RevenuesWomensTeam0.6,W,revenues
60,2004,0.7,OperatingExpensesperTeamMensTeam,57803.79999999999,OperatingExpensesperTeamMensTeam0.7,M,expenses
61,2004,0.7,OperatingExpensesperTeamWomensTeam,47815.59999999999,OperatingExpensesperTeamWomensTeam0.7,W,expenses
62,2004,0.7,RevenuesMensTeam,245829.39999999994,RevenuesMensTeam0.7,M,revenues
63,2004,0.7,RevenuesWomensTeam,171279.19999999998,RevenuesWomensTeam0.7,W,revenues
64,2004,0.8,OperatingExpensesperTeamMensTeam,104051.40000000001,OperatingExpensesperTeamMensTeam0.8,M,expenses
65,2004,0.8,OperatingExpensesperTeamWomensTeam,81641.80000000002,OperatingExpensesperTeamWomensTeam0.8,W,expenses
66,2004,0.8,RevenuesMensTeam,400691.00000000093,RevenuesMensTeam0.8,M,revenues
67,2004,0.8,RevenuesWomensTeam,264531.0,RevenuesWomensTeam0.8,W,revenues
68,2004,0.9,OperatingExpensesperTeamMensTeam,223313.0000000004,OperatingExpensesperTeamMensTeam0.9,M,expenses
69,2004,0.9,OperatingExpensesperTeamWomensTeam,154593.00000000003,OperatingExpensesperTeamWomensTeam0.9,W,expenses
70,2004,0.9,RevenuesMensTeam,1026759.7999999998,RevenuesMensTeam0.9,M,revenues
71,2004,0.9,RevenuesWomensTeam,499199.2000000004,RevenuesWomensTeam0.9,W,revenues
72,2005,0.1,OperatingExpensesperTeamMensTeam,12904.5,OperatingExpensesperTeamMensTeam0.1,M,expenses
73,2005,0.1,OperatingExpensesperTeamWomensTeam,10142.3,OperatingExpensesperTeamWomensTeam0.1,W,expenses
74,2005,0.1,RevenuesMensTeam,28755.0,RevenuesMensTeam0.1,M,revenues
75,2005,0.1,RevenuesWomensTeam,25092.4,RevenuesWomensTeam0.1,W,revenues
76,2005,0.2,OperatingExpensesperTeamMensTeam,18995.2,OperatingExpensesperTeamMensTeam0.2,M,expenses
77,2005,0.2,OperatingExpensesperTeamWomensTeam,16866.4,OperatingExpensesperTeamWomensTeam0.2,W,expenses
78,2005,0.2,RevenuesMensTeam,48523.20000000002,RevenuesMensTeam0.2,M,revenues
79,2005,0.2,RevenuesWomensTeam,41707.8,RevenuesWomensTeam0.2,W,revenues
80,2005,0.3,OperatingExpensesperTeamMensTeam,24170.5,OperatingExpensesperTeamMensTeam0.3,M,expenses
81,2005,0.3,OperatingExpensesperTeamWomensTeam,21305.899999999998,OperatingExpensesperTeamWomensTeam0.3,W,expenses
82,2005,0.3,RevenuesMensTeam,77167.59999999999,RevenuesMensTeam0.3,M,revenues
83,2005,0.3,RevenuesWomensTeam,62461.6,RevenuesWomensTeam0.3,W,revenues
84,2005,0.4,OperatingExpensesperTeamMensTeam,29680.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
85,2005,0.4,OperatingExpensesperTeamWomensTeam,26361.800000000007,OperatingExpensesperTeamWomensTeam0.4,W,expenses
86,2005,0.4,RevenuesMensTeam,104588.20000000001,RevenuesMensTeam0.4,M,revenues
87,2005,0.4,RevenuesWomensTeam,83752.40000000001,RevenuesWomensTeam0.4,W,revenues
88,2005,0.5,OperatingExpensesperTeamMensTeam,35957.5,OperatingExpensesperTeamMensTeam0.5,M,expenses
89,2005,0.5,OperatingExpensesperTeamWomensTeam,31537.5,OperatingExpensesperTeamWomensTeam0.5,W,expenses
90,2005,0.5,RevenuesMensTeam,140451.5,RevenuesMensTeam0.5,M,revenues
91,2005,0.5,RevenuesWomensTeam,108814.0,RevenuesWomensTeam0.5,W,revenues
92,2005,0.6,OperatingExpensesperTeamMensTeam,42962.6,OperatingExpensesperTeamMensTeam0.6,M,expenses
93,2005,0.6,OperatingExpensesperTeamWomensTeam,38145.99999999999,OperatingExpensesperTeamWomensTeam0.6,W,expenses
94,2005,0.6,RevenuesMensTeam,195903.19999999992,RevenuesMensTeam0.6,M,revenues
95,2005,0.6,RevenuesWomensTeam,149832.0,RevenuesWomensTeam0.6,W,revenues
96,2005,0.7,OperatingExpensesperTeamMensTeam,58427.09999999999,OperatingExpensesperTeamMensTeam0.7,M,expenses
97,2005,0.7,OperatingExpensesperTeamWomensTeam,50377.3,OperatingExpensesperTeamWomensTeam0.7,W,expenses
98,2005,0.7,RevenuesMensTeam,288325.1999999999,RevenuesMensTeam0.7,M,revenues
99,2005,0.7,RevenuesWomensTeam,208919.4,RevenuesWomensTeam0.7,W,revenues
100,2005,0.8,OperatingExpensesperTeamMensTeam,108041.40000000011,OperatingExpensesperTeamMensTeam0.8,M,expenses
101,2005,0.8,OperatingExpensesperTeamWomensTeam,84067.2,OperatingExpensesperTeamWomensTeam0.8,W,expenses
102,2005,0.8,RevenuesMensTeam,455725.00000000023,RevenuesMensTeam0.8,M,revenues
103,2005,0.8,RevenuesWomensTeam,307692.6000000001,RevenuesWomensTeam0.8,W,revenues
104,2005,0.9,OperatingExpensesperTeamMensTeam,245071.0,OperatingExpensesperTeamMensTeam0.9,M,expenses
105,2005,0.9,OperatingExpensesperTeamWomensTeam,176948.60000000003,OperatingExpensesperTeamWomensTeam0.9,W,expenses
106,2005,0.9,RevenuesMensTeam,1135283.8000000003,RevenuesMensTeam0.9,M,revenues
107,2005,0.9,RevenuesWomensTeam,571163.7999999997,RevenuesWomensTeam0.9,W,revenues
108,2006,0.1,OperatingExpensesperTeamMensTeam,14573.300000000001,OperatingExpensesperTeamMensTeam0.1,M,expenses
109,2006,0.1,OperatingExpensesperTeamWomensTeam,11753.800000000003,OperatingExpensesperTeamWomensTeam0.1,W,expenses
110,2006,0.1,RevenuesMensTeam,33700.4,RevenuesMensTeam0.1,M,revenues
111,2006,0.1,RevenuesWomensTeam,29189.0,RevenuesWomensTeam0.1,W,revenues
112,2006,0.2,OperatingExpensesperTeamMensTeam,20096.4,OperatingExpensesperTeamMensTeam0.2,M,expenses
113,2006,0.2,OperatingExpensesperTeamWomensTeam,17741.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
114,2006,0.2,RevenuesMensTeam,56977.40000000001,RevenuesMensTeam0.2,M,revenues
115,2006,0.2,RevenuesWomensTeam,48365.0,RevenuesWomensTeam0.2,W,revenues
116,2006,0.3,OperatingExpensesperTeamMensTeam,25923.4,OperatingExpensesperTeamMensTeam0.3,M,expenses
117,2006,0.3,OperatingExpensesperTeamWomensTeam,23150.6,OperatingExpensesperTeamWomensTeam0.3,W,expenses
118,2006,0.3,RevenuesMensTeam,85014.79999999999,RevenuesMensTeam0.3,M,revenues
119,2006,0.3,RevenuesWomensTeam,70055.0,RevenuesWomensTeam0.3,W,revenues
120,2006,0.4,OperatingExpensesperTeamMensTeam,31619.800000000003,OperatingExpensesperTeamMensTeam0.4,M,expenses
121,2006,0.4,OperatingExpensesperTeamWomensTeam,28068.0,OperatingExpensesperTeamWomensTeam0.4,W,expenses
122,2006,0.4,RevenuesMensTeam,113749.0,RevenuesMensTeam0.4,M,revenues
123,2006,0.4,RevenuesWomensTeam,93735.0,RevenuesWomensTeam0.4,W,revenues
124,2006,0.5,OperatingExpensesperTeamMensTeam,38289.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
125,2006,0.5,OperatingExpensesperTeamWomensTeam,33501.5,OperatingExpensesperTeamWomensTeam0.5,W,expenses
126,2006,0.5,RevenuesMensTeam,150636.5,RevenuesMensTeam0.5,M,revenues
127,2006,0.5,RevenuesWomensTeam,123296.5,RevenuesWomensTeam0.5,W,revenues
128,2006,0.6,OperatingExpensesperTeamMensTeam,47110.2,OperatingExpensesperTeamMensTeam0.6,M,expenses
129,2006,0.6,OperatingExpensesperTeamWomensTeam,42665.799999999996,OperatingExpensesperTeamWomensTeam0.6,W,expenses
130,2006,0.6,RevenuesMensTeam,217828.79999999996,RevenuesMensTeam0.6,M,revenues
131,2006,0.6,RevenuesWomensTeam,167723.0,RevenuesWomensTeam0.6,W,revenues
132,2006,0.7,OperatingExpensesperTeamMensTeam,59754.299999999974,OperatingExpensesperTeamMensTeam0.7,M,expenses
133,2006,0.7,OperatingExpensesperTeamWomensTeam,56250.0,OperatingExpensesperTeamWomensTeam0.7,W,expenses
134,2006,0.7,RevenuesMensTeam,322473.0999999996,RevenuesMensTeam0.7,M,revenues
135,2006,0.7,RevenuesWomensTeam,234542.5,RevenuesWomensTeam0.7,W,revenues
136,2006,0.8,OperatingExpensesperTeamMensTeam,119365.00000000004,OperatingExpensesperTeamMensTeam0.8,M,expenses
137,2006,0.8,OperatingExpensesperTeamWomensTeam,94685.40000000004,OperatingExpensesperTeamWomensTeam0.8,W,expenses
138,2006,0.8,RevenuesMensTeam,505604.8000000002,RevenuesMensTeam0.8,M,revenues
139,2006,0.8,RevenuesWomensTeam,352072.0,RevenuesWomensTeam0.8,W,revenues
140,2006,0.9,OperatingExpensesperTeamMensTeam,276732.0,OperatingExpensesperTeamMensTeam0.9,M,expenses
141,2006,0.9,OperatingExpensesperTeamWomensTeam,203023.00000000003,OperatingExpensesperTeamWomensTeam0.9,W,expenses
142,2006,0.9,RevenuesMensTeam,1243802.7,RevenuesMensTeam0.9,M,revenues
143,2006,0.9,RevenuesWomensTeam,648497.5,RevenuesWomensTeam0.9,W,revenues
144,2007,0.1,OperatingExpensesperTeamMensTeam,14000.0,OperatingExpensesperTeamMensTeam0.1,M,expenses
145,2007,0.1,OperatingExpensesperTeamWomensTeam,11572.0,OperatingExpensesperTeamWomensTeam0.1,W,expenses
146,2007,0.1,RevenuesMensTeam,39240.0,RevenuesMensTeam0.1,M,revenues
147,2007,0.1,RevenuesWomensTeam,35541.100000000006,RevenuesWomensTeam0.1,W,revenues
148,2007,0.2,OperatingExpensesperTeamMensTeam,20508.0,OperatingExpensesperTeamMensTeam0.2,M,expenses
149,2007,0.2,OperatingExpensesperTeamWomensTeam,18476.8,OperatingExpensesperTeamWomensTeam0.2,W,expenses
150,2007,0.2,RevenuesMensTeam,67145.0,RevenuesMensTeam0.2,M,revenues
151,2007,0.2,RevenuesWomensTeam,60748.200000000004,RevenuesWomensTeam0.2,W,revenues
152,2007,0.3,OperatingExpensesperTeamMensTeam,26295.2,OperatingExpensesperTeamMensTeam0.3,M,expenses
153,2007,0.3,OperatingExpensesperTeamWomensTeam,23306.8,OperatingExpensesperTeamWomensTeam0.3,W,expenses
154,2007,0.3,RevenuesMensTeam,97655.5,RevenuesMensTeam0.3,M,revenues
155,2007,0.3,RevenuesWomensTeam,85215.2,RevenuesWomensTeam0.3,W,revenues
156,2007,0.4,OperatingExpensesperTeamMensTeam,32088.600000000002,OperatingExpensesperTeamMensTeam0.4,M,expenses
157,2007,0.4,OperatingExpensesperTeamWomensTeam,28395.800000000003,OperatingExpensesperTeamWomensTeam0.4,W,expenses
158,2007,0.4,RevenuesMensTeam,127554.0,RevenuesMensTeam0.4,M,revenues
159,2007,0.4,RevenuesWomensTeam,108617.00000000001,RevenuesWomensTeam0.4,W,revenues
160,2007,0.5,OperatingExpensesperTeamMensTeam,39057.0,OperatingExpensesperTeamMensTeam0.5,M,expenses
161,2007,0.5,OperatingExpensesperTeamWomensTeam,34274.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
162,2007,0.5,RevenuesMensTeam,167102.5,RevenuesMensTeam0.5,M,revenues
163,2007,0.5,RevenuesWomensTeam,141209.5,RevenuesWomensTeam0.5,W,revenues
164,2007,0.6,OperatingExpensesperTeamMensTeam,47091.59999999999,OperatingExpensesperTeamMensTeam0.6,M,expenses
165,2007,0.6,OperatingExpensesperTeamWomensTeam,42614.6,OperatingExpensesperTeamWomensTeam0.6,W,expenses
166,2007,0.6,RevenuesMensTeam,231867.0,RevenuesMensTeam0.6,M,revenues
167,2007,0.6,RevenuesWomensTeam,195137.59999999998,RevenuesWomensTeam0.6,W,revenues
168,2007,0.7,OperatingExpensesperTeamMensTeam,62375.39999999998,OperatingExpensesperTeamMensTeam0.7,M,expenses
169,2007,0.7,OperatingExpensesperTeamWomensTeam,56097.99999999999,OperatingExpensesperTeamWomensTeam0.7,W,expenses
170,2007,0.7,RevenuesMensTeam,345361.0,RevenuesMensTeam0.7,M,revenues
171,2007,0.7,RevenuesWomensTeam,272692.1999999999,RevenuesWomensTeam0.7,W,revenues
172,2007,0.8,OperatingExpensesperTeamMensTeam,113922.00000000004,OperatingExpensesperTeamMensTeam0.8,M,expenses
173,2007,0.8,OperatingExpensesperTeamWomensTeam,92889.00000000004,OperatingExpensesperTeamWomensTeam0.8,W,expenses
174,2007,0.8,RevenuesMensTeam,558102.0,RevenuesMensTeam0.8,M,revenues
175,2007,0.8,RevenuesWomensTeam,397282.80000000005,RevenuesWomensTeam0.8,W,revenues
176,2007,0.9,OperatingExpensesperTeamMensTeam,278457.5999999999,OperatingExpensesperTeamMensTeam0.9,M,expenses
177,2007,0.9,OperatingExpensesperTeamWomensTeam,190904.39999999997,OperatingExpensesperTeamWomensTeam0.9,W,expenses
178,2007,0.9,RevenuesMensTeam,1376228.0,RevenuesMensTeam0.9,M,revenues
179,2007,0.9,RevenuesWomensTeam,746849.5000000001,RevenuesWomensTeam0.9,W,revenues
180,2008,0.1,OperatingExpensesperTeamMensTeam,15630.300000000001,OperatingExpensesperTeamMensTeam0.1,M,expenses
181,2008,0.1,OperatingExpensesperTeamWomensTeam,12076.9,OperatingExpensesperTeamWomensTeam0.1,W,expenses
182,2008,0.1,RevenuesMensTeam,42355.5,RevenuesMensTeam0.1,M,revenues
183,2008,0.1,RevenuesWomensTeam,39371.3,RevenuesWomensTeam0.1,W,revenues
184,2008,0.2,OperatingExpensesperTeamMensTeam,21878.200000000004,OperatingExpensesperTeamMensTeam0.2,M,expenses
185,2008,0.2,OperatingExpensesperTeamWomensTeam,19175.0,OperatingExpensesperTeamWomensTeam0.2,W,expenses
186,2008,0.2,RevenuesMensTeam,73696.8,RevenuesMensTeam0.2,M,revenues
187,2008,0.2,RevenuesWomensTeam,67868.0,RevenuesWomensTeam0.2,W,revenues
188,2008,0.3,OperatingExpensesperTeamMensTeam,27735.3,OperatingExpensesperTeamMensTeam0.3,M,expenses
189,2008,0.3,OperatingExpensesperTeamWomensTeam,24297.699999999997,OperatingExpensesperTeamWomensTeam0.3,W,expenses
190,2008,0.3,RevenuesMensTeam,105868.1,RevenuesMensTeam0.3,M,revenues
191,2008,0.3,RevenuesWomensTeam,92158.0,RevenuesWomensTeam0.3,W,revenues
192,2008,0.4,OperatingExpensesperTeamMensTeam,33301.0,OperatingExpensesperTeamMensTeam0.4,M,expenses
193,2008,0.4,OperatingExpensesperTeamWomensTeam,29519.4,OperatingExpensesperTeamWomensTeam0.4,W,expenses
194,2008,0.4,RevenuesMensTeam,139752.2,RevenuesMensTeam0.4,M,revenues
195,2008,0.4,RevenuesWomensTeam,118467.40000000001,RevenuesWomensTeam0.4,W,revenues
196,2008,0.5,OperatingExpensesperTeamMensTeam,39899.5,OperatingExpensesperTeamMensTeam0.5,M,expenses
197,2008,0.5,OperatingExpensesperTeamWomensTeam,35706.0,OperatingExpensesperTeamWomensTeam0.5,W,expenses
198,2008,0.5,RevenuesMensTeam,186659.0,RevenuesMensTeam0.5,M,revenues
199,2008,0.5,RevenuesWomensTeam,155759.5,RevenuesWomensTeam0.5,W,revenues
200,2008,0.6,OperatingExpensesperTeamMensTeam,50204.59999999999,OperatingExpensesperTeamMensTeam0.6,M,expenses
201,2008,0.6,OperatingExpensesperTeamWomensTeam,45329.6,OperatingExpensesperTeamWomensTeam0.6,W,expenses
202,2008,0.6,RevenuesMensTeam,260806.19999999998,RevenuesMensTeam0.6,M,revenues
203,2008,0.6,RevenuesWomensTeam,217795.4,RevenuesWomensTeam0.6,W,revenues
204,2008,0.7,OperatingExpensesperTeamMensTeam,64803.89999999997,OperatingExpensesperTeamMensTeam0.7,M,expenses
205,2008,0.7,OperatingExpensesperTeamWomensTeam,59226.89999999998,OperatingExpensesperTeamWomensTeam0.7,W,expenses
206,2008,0.7,RevenuesMensTeam,367729.89999999997,RevenuesMensTeam0.7,M,revenues
207,2008,0.7,RevenuesWomensTeam,295280.8,RevenuesWomensTeam0.7,W,revenues
208,2008,0.8,OperatingExpensesperTeamMensTeam,128308.00000000003,OperatingExpensesperTeamMensTeam0.8,M,expenses
209,2008,0.8,OperatingExpensesperTeamWomensTeam,103505.80000000002,OperatingExpensesperTeamWomensTeam0.8,W,expenses
210,2008,0.8,RevenuesMensTeam,618239.4000000001,RevenuesMensTeam0.8,M,revenues
211,2008,0.8,RevenuesWomensTeam,437636.60000000003,RevenuesWomensTeam0.8,W,revenues
212,2008,0.9,OperatingExpensesperTeamMensTeam,314975.60000000003,OperatingExpensesperTeamMensTeam0.9,M,expenses
