,Sport,NCAA Division I-FBS ,NCAA Division I-FCS ,NCAA Division I without football ,NCAA Division II with football ,NCAA Division II without football ,NCAA Division III with football ,NCAA Division III without football ,Other ,NAIA Division I ,NAIA Division II ,NAIA Division III ,NJCAA Division I ,NJCAA Division II ,NJCAA Division III ,NCCAA Division I ,NCCAA Division II ,CCCAA ,Independent ,NWAC ,USCAA ,Total
0,Archery ,,124948.0,,,367583.0,16046.0,,,747965.0,463269.0,,32372.0,,49878.0,,,283309.0,,,,2085370.0
1,Badminton ,,,,,,,,,,,,,,,,,9509.0,,,,9509.0
2,Baseball ,259667623.0,79171345.0,89294222.0,52966509.0,52591474.0,36609039.0,16724872.0,5410769.0,55201425.0,43411460.0,,50905809.0,14143065.0,4665061.0,727589.0,576063.0,5917297.0,,2436143.0,1104584.0,771524349.0
3,Basketball ,1098154066.0,364252761.0,422648429.0,119211239.0,105876597.0,52462080.0,22175091.0,10180770.0,92185267.0,61879080.0,,73594405.0,15904173.0,3412838.0,1335308.0,2744324.0,2843035.0,80941.0,3704479.0,2915208.0,2455560091.0
4,Beach Volleyball ,12500561.0,3477462.0,4201760.0,774263.0,798869.0,196624.0,,,1643505.0,1488762.0,,103458.0,69767.0,9000.0,,,1049426.0,,,,26313457.0
5,Bowling ,2961221.0,4634141.0,802832.0,1407157.0,1817421.0,685544.0,295667.0,,7903565.0,6494969.0,,345502.0,624687.0,194123.0,,,493401.0,,,11096.0,28671326.0
6,All Track Combined ,314744099.0,109736750.0,77898052.0,56524154.0,31553219.0,14187242.0,4673766.0,1066041.0,29378539.0,28640929.0,,8065904.0,1081479.0,114619.0,23079.0,67300.0,,,91153.0,88719.0,677935044.0
7,Diving ,1156963.0,,,,,27124.0,2364.0,,,,,,,,,,,,,,1186451.0
8,Equestrian ,21247855.0,4005062.0,277958.0,,227558.0,899447.0,666960.0,41738.0,271639.0,1111261.0,,66484.0,,28011.0,,,33524.0,,,95115.0,28972612.0
9,Fencing ,7536895.0,1338933.0,1346700.0,314514.0,223360.0,128207.0,273835.0,69340.0,,,,,,,,,,,,,11231784.0
10,Field Hockey ,35870831.0,16694700.0,14259976.0,3726078.0,1536604.0,4870340.0,3549490.0,150066.0,,,,,,,,,,,,,80658085.0
11,Football ,2427434318.0,410933054.0,,149361942.0,,64778797.0,,5165631.0,74303858.0,65581952.0,,27926329.0,2491973.0,226180.0,,,3134736.0,,1003305.0,,3232342075.0
12,Golf ,152744992.0,44863844.0,44992771.0,26880274.0,29218053.0,14627043.0,5417369.0,1768884.0,22280834.0,17547981.0,,7544813.0,2620303.0,429363.0,54302.0,57036.0,930854.0,,610890.0,336185.0,372925791.0
13,Gymnastics ,70236914.0,5156157.0,2727651.0,1979133.0,1716834.0,1013571.0,114753.0,84062.0,170933.0,,,,,,,99747.0,,,,,83299755.0
14,Ice Hockey ,55353845.0,28735839.0,34231295.0,22975584.0,5669245.0,14773910.0,12851160.0,2799388.0,983910.0,1550740.0,,,213499.0,,,181397.0,,,,,180319812.0
15,Lacrosse ,70073757.0,58291078.0,57262779.0,27565629.0,30273251.0,34458179.0,18936615.0,4835747.0,8188817.0,12223559.0,,92918.0,412162.0,335637.0,,,,,,52596.0,323002724.0
16,Rifle ,4658900.0,973138.0,,,520884.0,134709.0,99079.0,,465990.0,294489.0,,34906.0,243618.0,10826.0,,,,,,,7436539.0
17,Rodeo ,,382252.0,,2259765.0,,,,1250486.0,1544521.0,148308.0,,9943960.0,506597.0,,,,486670.0,,245722.0,,16768281.0
18,Rowing ,78996410.0,18859502.0,19538081.0,1220291.0,4048554.0,5111143.0,1205195.0,115292.0,354504.0,,,,,,,,,,,,129448972.0
19,Sailing ,2167319.0,653816.0,393114.0,,223173.0,748595.0,729815.0,,,,,,,,,,,,,,4915832.0
20,Skiing ,3192850.0,1940325.0,2521053.0,964499.0,1825257.0,1141123.0,232118.0,235581.0,349023.0,,,,15456.0,,,,,,,92200.0,12509485.0
21,Soccer ,229098175.0,109097959.0,145190672.0,58262196.0,73590742.0,37548874.0,20885050.0,6555785.0,80629848.0,58923294.0,,25269888.0,9005180.0,2355619.0,652980.0,839524.0,1798329.0,,2537151.0,2343931.0,864585197.0
22,Softball ,153373030.0,70836944.0,53507644.0,43617175.0,37012885.0,26203124.0,12039448.0,3360553.0,32959717.0,26753284.0,,39019047.0,9796301.0,2077770.0,236094.0,148881.0,3803825.0,,1409200.0,282760.0,516437682.0
23,Squash ,1068713.0,20973.0,1019910.0,,,,314670.0,,,,,,,,,,,,,,2424266.0
24,Swimming ,17207669.0,7208386.0,4572727.0,8887590.0,8517804.0,6490725.0,3031269.0,433938.0,3770168.0,4456746.0,,201199.0,142544.0,4517.0,,,1610285.0,,228814.0,43932.0,66808313.0
25,Swimming and Diving ,130856424.0,26668647.0,27339446.0,12243336.0,4460518.0,7273016.0,1832909.0,,690082.0,1862504.0,,488722.0,128047.0,34112.0,,,501389.0,,,,214379152.0
26,Synchronized Swimming ,1263727.0,545170.0,,,,,77047.0,,,,,,,,,,,,,,1885944.0
27,Table Tennis ,,,,,,,,,,,,,,,,,,,,,
28,Team Handball ,,,,,,,,,,,,,,,,,,,,,
29,Tennis ,158152711.0,50537789.0,47370575.0,24740006.0,25450671.0,16314759.0,7349763.0,1316752.0,17828769.0,12586154.0,,4013756.0,1032730.0,165586.0,,21457.0,1531086.0,,339281.0,34482.0,368786327.0
30,Track and Field Indoor ,2844436.0,3225267.0,771429.0,2688415.0,1276616.0,4098392.0,921010.0,,6472489.0,3824416.0,,247266.0,467840.0,,,107256.0,,,,,26944832.0
31,Track and Field Outdoor ,6444999.0,13336323.0,5690565.0,9464282.0,9860183.0,15817942.0,5876662.0,367667.0,10929859.0,8533526.0,,1232144.0,1042681.0,297098.0,67005.0,115737.0,2347362.0,,481560.0,309068.0,92214663.0
32,Track and Field X-Country ,6808446.0,4818422.0,7728909.0,3984017.0,8302791.0,4020473.0,1839430.0,592369.0,8059375.0,5893149.0,,1928329.0,1528916.0,293475.0,69098.0,164111.0,338791.0,,517227.0,344803.0,57232131.0
33,Volleyball ,165152626.0,70743989.0,72595356.0,39931409.0,36372560.0,20631222.0,9562978.0,2528787.0,38964746.0,28582775.0,,20659712.0,5030437.0,1036034.0,393357.0,517759.0,963170.0,,1579881.0,305462.0,515552260.0
34,Water Polo ,13245036.0,4604193.0,7806209.0,1458694.0,1666582.0,918094.0,197147.0,49003.0,777916.0,,,,,,,,628624.0,,,,31351498.0
35,Weight Lifting ,,,,291192.0,,,,,778996.0,1467825.0,,,,,,,,,,,2538013.0
36,Wrestling ,43081335.0,9975561.0,8580209.0,16450358.0,6104216.0,7803322.0,1185696.0,1397616.0,19521209.0,13695942.0,,2805457.0,985930.0,212285.0,,,,,605245.0,,132404381.0
37,Other Sports ,1671152.0,2110747.0,2517437.0,5357720.0,4150377.0,2271666.0,1434891.0,2007363.0,13178142.0,12237491.0,,2530645.0,763601.0,416866.0,61230.0,,,,76720.0,156535.0,50942583.0
38,Total,5548967898.0,1527955477.0,1157087761.0,695507421.0,485253881.0,396260372.0,154496119.0,51783628.0,530535611.0,419653865.0,,277053025.0,68250986.0,16368898.0,3620042.0,5640592.0,28704622.0,80941.0,15866771.0,8516676.0,11391604586.0
